title;company;salary;payment_frequency;experience;employment;hiring_format;schedule;hours;work_format;skills;url;description
Менеджер по работе с клиентами;ОООМатурхан;от1 500Brза месяцна руки;Не указано;1–3 года;Полная занятость;Оформление:Трудовой договор;График:5/2;Рабочие часы:8;Формат работы:на месте работодателя;Деловое общение, Телефонные переговоры, 1С: Предприятие 8, MS Word, MS Excel;https://grodno.rabota.by/vacancy/132117631;Обязанности:     Оформление курьеров Яндекс-еда   Ведение учета   Формирование выплат​​​​​     Требования:     Уверенный пользователь ПК   Честность   Трудолюбие   Навыки работы с программами Word и Excel на начальном уровне   Стремление к быстрой обучаемости и готовность выйти на работу в кратчайшие сроки     Ссылка на вакансию в банке вакансий на gsz.gov.⁣by:
Администратор пункта выдачи OZON (Гродно);ОООПлэй хард;от1 400Brза месяцна руки;Не указано;не требуется;Полная занятость;Оформление:Трудовой договор;График:2/2;Рабочие часы:12;Формат работы:на месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132190267;"Требуется сотрудник  в пункт выдачи OZON  по адресу:  г. Гродно, улица Дзержинского, 113   Обязанности:     Выдача заказов: быстрое обслуживание клиентов, сканирование штрих-кодов, выдача товаров (работа с кассой не требуется) .   Прием товара: приемка поступающих от курьеров заказов, размещение товара на стеллажах.   Возвраты: оформление возвратов товаров от клиентов согласно стандартам OZON.   Складской учет: участие в проведении инвентаризаций (план-факт, пересчет товара) .   Порядок: поддержание чистоты в помещении пункта выдачи и на рабочем месте     Требования:     Внимательность и стрессоустойчивость (работа с большим потоком людей) .   Базовый уровень владения ПК (уверенный пользователь, работа в в программе OZON) .   Ответственность, порядочность, аккуратность .   Без опыта работы — рассмотрим кандидатов без опыта работы.     Мы предлагаем:     Работу в динамично развивающейся компании   Комфортный график работы: 2/2, 09:00-21:00   Действующий проект ""Приведи Друга"" – получи бонус к заработной плате   Своевременную выплату заработной платы (2 раза в месяц на банковскую карту)   С первого рабочего дня официальное трудоустройство в соответствии с ТК РБ   Полный социальный пакет, предусмотренный Трудовым законодательством (официальный отпуск, оплачиваемый больничный и т.д.)     Ссылка на вакансию в банке вакансий на gsz.gov.⁣by:   в процессе размещения"
Администратор;ЗАОМедВайз;от1 500Brза месяцна руки;Выплаты: два раза в месяц;1–3 года;Полная занятость;Не указано;График:2/2;Рабочие часы:12;Формат работы:на месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132186372;"Обязанности:     прием телефонных звонков;   предоставление клиентам информации о работе учреждения;   запись пациентов на прием;   оформление необходимой документации, составление отчетов;   ведение клиентской базы;   встреча клиентов учреждения;   координация деятельности врачей и прочего персонала медучреждения;   проведение работы, направленной на предотвращение и ликвидацию всякого рода конфликтных ситуаций.     Требования:     высшее образование;   коммуникабельность, грамотная речь, дисциплинированность и ответственность, оптимизм и энергичность, приветливость и вежливость в общении, уверенный пользователь ПК, исполнительность, быстрая обучаемость, стрессоустойчивость.     Условия:     Стабильная компания   график работы 2\2   достойная оплата и бонусы по результатам   дружный молодой коллектив   официальное трудоустройство   полный социальный пакет"
Специалист по продажам;ОООБелфлекс;до6 000Brза месяцдо вычета налогов;Выплаты: два раза в месяц;1–3 года;Полная занятость;Не указано;График:5/2;Рабочие часы:8;Формат работы:на месте работодателя·Права категорииB;Активные продажи, Деловое общение, Холодные продажи, Работа с CRM, Выявление потребностей, Заключение договоров, Подготовка коммерческих предложений, Деловая переписка, B2B Продажи, Телефонные переговоры, Продажи корпоративным клиентам, Пользователь ПК;https://grodno.rabota.by/vacancy/132172824;"ООО «Белфлекс»  – это динамично развивающаяся компания с 10-летним опытом работы в сфере поставок промышленных рукавов, шлангов и соединений на всей территории СНГ. Мы успешно сотрудничаем с ведущими предприятиями всех отраслей промышленности в Беларуси, России и Казахстане, разрабатывая и поставляя продукты, соответствующие мировым стандартам.   Мы приглашаем энергичного, быстрого, позитивного сотрудника, который не любит менять работу, любит продажи, хочет работать в режиме непрерывного профессионального роста и достичь материального благополучия.   Обязанности:     Активный поиск и привлечение новых клиентов;   Ведение клиентов в CRM, контроль всех этапов сделки;   Развитие долгосрочных отношений с клиентами, поддержка на всех этапах сотрудничества;   Прием и обработка входящих заказов, консультирование клиентов;   Контроль дебиторской задолженности;   Проведение переговоров, заключение договоров;   Выполнение планов и нормативов по продажам.     Требования:     Готовность продавать и активно обучаться, осваивая новые знания и навыки;   Уверенный пользователь ПК, базовые знания пакетов MS Office (Word & Excel);   Стремление к высокому заработку без ограничений;   Умение быстро разбираться в деталях и предлагать клиентам наилучшие решения;   Приветствуется наличие ВУ категории B (краткосрочные командировки по РБ, не более 3 дней в месяц)     Мы предлагаем:     Конкурентоспособный уровень дохода: оклад + премия за выполнение нормативов + %   Стабильную зарплату, всегда вовремя (2 раза в месяц)   График работы с 8.30 до 17.00 пн-пт.   Системное обучение по продуктам компании и продажам, а также всестороннюю поддержку на всех этапах работы   Молодой и дружный коллектив   Адекватный менеджмент, который понимает и поддерживает своих сотрудников   Реальные возможности карьерного роста   Бонусы за результативность   Официальное трудоустройство и соц. пакет.   Испытательный срок - 3 мес. (с возможностью досрочного перехода в штат)     * вакансия на перспективу расширения штата"
Менеджер по продажам;СООО Белавтомазсервис;от2 500Brза месяцна руки;Выплаты: два раза в месяц;не требуется;Полная занятость;Оформление:Трудовой договор;График:5/2;Рабочие часы:8;Формат работы:на месте работодателя или разъездной·Права категорииB;Активные продажи, Ведение переговоров, Деловое общение, Телефонные переговоры, Поиск и привлечение клиентов, Выявление потребностей, Заключение договоров;https://grodno.rabota.by/vacancy/132166919;"Компания СООО «БЕЛАВТОМАЗСЕРВИС» 30 лет лидирует на рынке поставщиков автозапчастей к отечественной грузовой технике и оказании услуг по техническому обслуживанию и ремонту. Наша компания имеет 15 собственных СТО по грузовой автотехнике, а также 45 магазинов, систему центральных и региональных складов, собственную логистику поставок.   Мы приглашаем кандидатов на должность менеджера по продажам,   и мы ожидаем, что на этой должности  Вы обеспечите для компании максимальную выручку от клиентов,  за которых будете отвечать.   На этой позиции вам предстоит:     сопровождать клиентов (юридических лиц) в продаже запчастей и услуг по ремонту грузовых автомобилей;   наращивать и развивать объемы продаж с текущими клиентами;   возобновлять сотрудничество с неактивными клиентами;   проводить встречи и переговоры с клиентами;   контролировать выполнение заявок клиентов;   контролировать дебиторскую задолженность.     Наши требования:     высшее образование;   отличные коммуникативные навыки, готовность к проведению встреч с клиентами;   умение работать на результат, быть готовым к обучению и развитию по направлению деятельности;   быть активным, иметь позитивное отношение к миру, открытость, эмпатичность, желание помогать людям, умение выстраивать доверительные и долгосрочные отношения;   знание автозапчастей НЕ ТРЕБУЕТСЯ! (консультации по подбору з/ч проводят наши технические специалисты);   иметь собственный автомобиль;     Мы предлагаем:     конкурентную систему мотивации (премия за результат) и возможность влиять на свой доход. Заработная плата: на испытательном сроке 2000 руб., после испытательного срока 2500 руб. + премия за результат;   личный ноутбук, корпоративную мобильную связь, CRM систему;   обучение системе продаж наших продуктов в корпоративном учебном центре;   усилить и «прокачать» личностные навыки важные для работы и жизни;   программу адаптации для новичков с первых дней работы в компании;   возможности вертикального и горизонтального развития для сотрудников;   официальное оформление со всеми соц. гарантиями и выплатами на карту 2 раза в месяц;   оплату топлива, амортизации автомобиля;   стабильный график работы: пятидневная рабочая неделя с 09.00 до 17.00 (суббота /воскресенье выходной).         Перспективная вакансия"
Продавец-консультант;АНКОР, Минск;от2 000Brза месяцна руки;Не указано;не требуется;Полная занятость;Оформление:Трудовой договор;График:5/2;Рабочие часы:8;Формат работы:на месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132190448;Компания Анкор ищет специалиста на позицию  промоутера-консультанта   в г. Гродно  для продвижения продукции компании Huawei. Присоединяйтесь к нашей дружной команде профессионалов.       Обязанности :     Демонстрация продукта и консультация посетителей в розничной торговой точке   Повышение лояльности к бренду потребителей и сотрудников торговой точки   Мерчандайзинг и поддержание порядка в торговом зале   Отчетность по результатам работы     Требования :     Обязательное требование - отличные коммуникативные навыки: хорошо поставленная грамотная речь, позитивный настрой, развитая способность к эмпатии   Необходимые качества: внимательность, дисциплинированность, бесконфликтность, стрессоустойчивость   Навыки в сфере продаж   Интерес к рынку мобильных устройств и носимой электроники, техническая грамотность   Необходимо иметь Android-смартфон     Условия :     Высокий уровень дохода - оплата состоит из фиксированной и бонусной частей   Оплата отпуска и больничных   Программы дополнительной мотивации   Профессиональное развитие и обучение   Рабочие дни по согласованию. Рабочие часы: 11.00-20.00 (возможны корректировки)     Навыки:     Грамотная речь   Навыки продаж   Умение работать в команде   Навыки презентации   Навыки работы с возражениями   Ориентация на результат         Вакансия перспективная, планируемая к размещению.
Продавец-кассир в пункт выдачи заказов, г. Гродно;Lamoda;1 450Brза месяцдо вычета налогов;Выплаты: два раза в месяц;не требуется;Полная занятость;Не указано;График:5/2;Рабочие часы:9 и другие варианты;Формат работы:на месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132175799;Мы предлагаем:     Работу в пункте выдачи заказов по адресу:  ул. Советских Пограничников, 57.   График работы  5/2:  вт-пт 12:00 - 21:00, сб 9:00 - 18:00  (выходные воскресенье и понедельник)   Добровольное медицинское страхование за счёт компании  по истечении 6-и месяцев работы.   Оплачиваемую стажировку.   Корпоративные скидки  на товары Lamoda (15-25% ежемесячно, 40% в месяц дня рождения), скидки от партнеров и программа лояльности с эксклюзивными скидками и спецпредложениями.   Привилегии и скидки от BestBenefits.   Возможность брать доп. смены и  повышать свой доход.   Стабильная и прозрачная заработная плата.   Поддержка коллег, обучение на период вашей адаптации в компании.   Работа в стабильной и узнаваемой компании в индустрии моды.     Задачи:     Работа в пункте выдачи заказов (прием товара, работа с кассой (терминалом), сдача инкассации).   Ведение кассовой книги.   Обслуживание покупателей, консультация и помощь при выборе товара.   Прием торговых представителей с маршрута - оставшегося товара и выручки, оформление документации.   Помощь в оформлении заказов на сайте.     Мы ожидаем:     Доброжелательность, коммуникабельность, открытость.   Ответственность за качество выполняемой работы.   Обучаемость и желание обучаться.   Умение работать в команде.   Опытный пользователь ПК (Word, Excel), почта, знание 1С (будет преимуществом).   Наличие опыта приветствуется. *Вакансия, планируемая к созданию и/или замещению (перспективная)
Кладовщик;ОООЛогиЛидер;от1 700Brза месяцна руки;Выплаты: два раза в месяц;не требуется;Полная занятость;Оформление:Трудовой договор;График:2/2;Рабочие часы:Вечерние или ночные смены,12;Формат работы:на месте работодателя;Работа с ТМЦ, Приемка груза, ТСД, Умение работать в коллективе;https://grodno.rabota.by/vacancy/132156319;"Работа мечты для тех, кто любит порядок и точность!   Требуются  Кладовщики  в современный логистический комплекс   ✅  Что предстоит делать:     Быстро и аккуратно принимать машины, проверять груз и оформлять приёмку товаров;   Размещать товар на складе согласно правилам адресного хранения и обеспечивать его сохранность;   Работать с терминалом сбора данных (ТСД), сканируя товары и обрабатывая возвраты;   Выполнять дополнительные поручения руководителя, направленные на поддержание порядка на складе.     ✅  Кто нам нужен:     Люди ответственные, внимательные и пунктуальные, готовые к физическим нагрузкам;   Желающие развиваться профессионально и получать достойную оплату своего труда;   Опыт работы в аналогичной должности будет вашим преимуществом     ✅  Какие бонусы мы предоставляем:     Корпоративный транспорт (доставка)   График 2/2 дневные/ночные смены   Профессиональный старт в стабильной компании;   Официальное трудоустройство;   Обеспечиваем спецодеждой;   Карьерный рост внутри компании     💥 Начинаешь карьеру кладовщиком, а заканчиваешь начальником склада — реально и достижимо!   Присоединяйтесь к динамичной команде, где царит уважение к людям и профессионализм в каждом действии!   Отправляйте резюме прямо сейчас — ждём активных и целеустремленных сотрудников!"
Торговый агент (мерчендайзер);Беллакт-Столица;от1 000до1 450Brза месяцна руки;Выплаты: два раза в месяц;не требуется;Полная занятость;Не указано;График:5/2;Рабочие часы:8;Формат работы:разъездной;Контроль остатков, Ассортиментная матрица;https://grodno.rabota.by/vacancy/132200397;"В связи с расширением штата в компанию ""Беллакт-Столица"" (оптовая продажа продуктов питания, производство соков, морсов и пюре для детского питания)  приглашает на работу  мерчендайзера  (торговый агент) в  г. Гродно.   В круг Ваших задач будет входить:     посещение торговых точек;   выкладка товара согласно планограмм размещения;   ротация продукции на торговых точках;   контроль остатков продукции в торговых точках.         Что мы ожидаем от Вас:     желание работать и развиваться в сфере продаж;   энергичность, инициативность;   наличие санитарной справки или готовность сделать;   умение планировать свою работу, организованность, дисциплинированность.         Став частью нашей компании, Вы получите:     трудоустройство по законодательству РБ и все социальные гарантии;   достойная официальная заработная плата. Выплачивается два раза в месяц;   оплата проездного и мобильной связи;   возможность карьерного роста; корпоративы 2 раза в год, утренники для детей сотрудников;       график работы 5 дней в неделю с 9-00 до 18-00.         Ждем ваших откликов и ПОЛНЫХ резюме!"
Мерчандайзер-консультант;ОООФилд Форс Групп Бел;до2 200Brза месяцна руки;Выплаты: два раза в месяц;не требуется;Полная занятость;Не указано;График:5/2;Рабочие часы:8;Формат работы:на месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132146309;"«OPEN Group»  одна из крупнейших российских компаний в области управления человеческим капиталом . «OPEN Group»  сотрудничает с международными компаниями!   Наш партнер   MAKITA  стремится сделать жизнь наших пользователей проще и удобнее, предлагая инновационные решения в различных сферах. В связи с расширением направления в области  садового и строительного инструмента , ищет талантливого и увлеченного  Мерчандайзера-консультанта ,  который станет частью команды.   Почему работа с нами выгодна?     Удобный график работы: 5/2, выходной: понедельник, вторник;   Мотивация: окладная часть + бонусная часть (процент от продаж), в среднем консультанты по продажам получают от 2200 рублей;     Оклад 1320   Бонусы 880     Официальное трудоустройство по ТК;   Бесплатное корпоративное обучение     Что входит в твои обязанности?     Предоставление подробной информации о характеристиках и преимуществах различных садовых и строительных инструментов.   Помощь покупателям в выборе техники, соответствующей их потребностям.   Проведение демонстраций работы устройств и объяснение их функционала.   Участие в акциях и промо-мероприятиях для увеличения объема продаж, работа с заказом товара   Обеспечение наличия товара на полках, контроль за его состоянием.   Участие в инвентаризациях и поддержание порядка на торговом месте.   Предоставление рекомендаций по уходу за техникой и её эксплуатации     Какие качества нам важны?     Ты коммуникабельный, легко находишь общий язык с людьми разных возрастов и предпочтений.   Умеешь сохранять спокойствие даже в напряжённой рабочей атмосфере и эффективно справляешься с несколькими задачами одновременно.   Готов расти профессионально, открыт новым знаниям и готов учиться новому каждый день.     Место работы : Материк Гродно, ул. Белуша 56, Mile Гродно, пр-т Янки Купалы,87 (ТЦ TRINITI), Ома Гродно, ул. М.Горького 91, Гемма Гродно, пр-т Космонавтов 2Г   Присоединяйся к нашей команде и начни карьеру мечты прямо сейчас!   Откликайся — всему научим и поможем реализовать твой потенциал!   https://gsz.gov.by/registration/employer/vacancy/1829274/detail-public/"
